,itemId,Subject,Date,Format,Title,Description,Rights,Identifier,Creator,Coverage,Relation,Type
66,5548,Artifacts,,Quarter Plate Glass Negative,Decorated pottery beaker. Opie,Decorated pottery beaker. Opie,Morrab Library,O.67,From unknown book,,,
67,5549,Artifacts,,Quarter Plate Glass Negative,photograph of 2 gold lunulae . Opie,photograph of 2 gold lunulae . Opie,Morrab Library,O.68,Fig 22 from unknown book,"Harlyn Cliffs, St Merryn",,
68,5550,Artifacts,,Quarter Plate Glass Negative,Drawings of Roman coins and artifacts. Opie,Drawings of Roman coins and artifacts. Opie,Morrab Library,O.69,From Dr. Borlase's 'Antiquities of Cornwall' facing p117,,,
69,5551,Artifacts,,Quarter Plate Glass Negative,Sherds of 'Glastonbury Ware'.,Sherds of 'Glastonbury Ware'.,Morrab Library,O.70,Stanley Opie,,,
70,5552,Artifacts,,Quarter Plate Glass Negative,Sherds of 'Glastonbury Ware'.,Sherds of 'Glastonbury Ware'.,Morrab Library,O.71,Stanley Opie,,,
71,5553,Artifacts,,Quarter Plate Glass Negative,Sherds of 'Glastonbury Ware'.,Sherds of 'Glastonbury Ware'.,Morrab Library,O.72,Stanley Opie,,,
72,5554,Artifacts,,Quarter Plate Glass Negative,Drawing of various beads? pendants? . Opie,Drawing of various beads? pendants? . Opie,Morrab Library,O.73,Plate 3 from JRIC vol 6 facing p 206,St Just,,
73,5555,Artifacts,,Quarter Plate Glass Negative,Various artifacts including 'spindlewhorls'.,Various artifacts including 'spindlewhorls'.,Morrab Library,O.74,Stanley Opie,,,
74,5556,Artifacts,,Quarter Plate Glass Negative,Various artifacts including 'spindlewhorls'.,Various artifacts including 'spindlewhorls'.,Morrab Library,O.75,Stanley Opie,,,
75,5557,Artifacts,,Quarter Plate Glass Negative,Drawing of Gold Coins. Opie,Drawing of Gold Coins. Opie,Morrab Library,O.76,Borlase's 'Antiquities of Cornwall' facing p 259,"Carn Brea, Camborne in 1749",,
76,5558,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint scrapers and 'celts'.,Flint scrapers and 'celts'.,Morrab Library,O.77,Stanley Opie,"Carn Brea, Nancekuke, Illogan",,
77,5559,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint arrowheads.,Flint arrowheads.,Morrab Library,O.78,Stanley Opie,,,
78,5560,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint spear head,Flint spear head,Morrab Library,O.79,Stanley Opie,Penponds nr. Camborne,,
79,5561,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint spear head,Flint spear head,Morrab Library,O.80,Stanley Opie,Penponds nr. Camborne,,
80,5562,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint spear head,Flint spear head,Morrab Library,O.81,Stanley Opie,Penponds nr. Camborne,,
81,5563,Axe heads and arrow heads,,Quarter Plate Glass Negative,Flint spear head,Flint spear head,Morrab Library,O.82,Stanley Opie,Penponds nr. Camborne,,
82,5564,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of prehistoric spearheads.,Drawing of prehistoric spearheads.,Morrab Library,O.83,Stanley Opie,From unknown book,,
83,5565,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two bivalve moulds for socketed axes and one cast.,Two bivalve moulds for socketed axes and one cast.,Morrab Library,O.84,Stanley Opie,RIC - found Michaelstow Dec 1934,,
84,5566,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two bivalve moulds for socketed axes and one cast.,Two bivalve moulds for socketed axes and one cast.,Morrab Library,O.85,Stanley Opie,,,
85,5567,Axe heads and arrow heads,,Quarter Plate Glass Negative,Corroded bronze palstave,"The label reads:

Bronze Palstave
Locality: Dug up in a field at North Crofty, Illogan
Donor: Thurstan Peter Esq. 15/1909 1.",Morrab Library,O.86,Stanley Opie,Illogan,,
86,5568,Axe heads and arrow heads,,Quarter Plate Glass Negative,Corroded bronze palstave,"The label reads:

Bronze Palstave
Locality: Dug up in a field at North Crofty, Illogan
Donor: Thurstan Peter Esq. 15/1909 1.",Morrab Library,O.87,Stanley Opie,,,
87,5569,Axe heads and arrow heads,,Quarter Plate Glass Negative,Palstave socketed axes and tools.,Palstave socketed axes and tools.,Morrab Library,O.88,Stanley Opie,,,
88,5570,Axe heads and arrow heads,,Quarter Plate Glass Negative,Metal axeheads (5).,Metal axeheads (5).,Morrab Library,O.89,Stanley Opie,,,
89,5571,Axe heads and arrow heads,,Quarter Plate Glass Negative,Palstave.,Palstave.,Morrab Library,O.90,Stanley Opie,,,
90,5572,Axe heads and arrow heads,,Quarter Plate Glass Negative,Palstave.,Palstave.,Morrab Library,O.91,Stanley Opie,,,
91,5573,Axe heads and arrow heads,,Quarter Plate Glass Negative,Palstave.,Palstave.,Morrab Library,O.92,Stanley Opie,,,
92,5574,Axe heads and arrow heads,,Quarter Plate Glass Negative,Corroded Palstave.,Corroded Palstave.,Morrab Library,O.93,Stanley Opie,,,
93,5575,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone axe fragment?.,Stone axe fragment?.,Morrab Library,O.94,Stanley Opie,,,
94,5576,Axe heads and arrow heads,,Quarter Plate Glass Negative,Metal axeheads (5).,Metal axeheads (5).,Morrab Library,O.95,Stanley Opie,,,
95,5577,Axe heads and arrow heads,,Quarter Plate Glass Negative,Corroded Palstave.,Corroded Palstave.,Morrab Library,O.96,Stanley Opie,,,
96,5578,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Palstave, socketed axe, socketed tool.","Palstave, socketed axe, socketed tool.",Morrab Library,O.97,Stanley Opie,,,
97,5579,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Palstave, socketed axe, socketed tool.","Palstave, socketed axe, socketed tool.",Morrab Library,O.98,Stanley Opie,,,
98,5580,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Worked stones, flint and stone axe .","Worked stones, flint and stone axe .",Morrab Library,O.99,Stanley Opie,"Carn Brea, Camborne",,
99,5581,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Sword, axe, metal axehead.","Sword, axe, metal axehead.",Morrab Library,O.100,Stanley Opie,,,
100,5582,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of 'stone celt'. Opie,Drawing of 'stone celt'. Opie,Morrab Library,O.101,From Dr. Borlase's 'Antiquities of Cornwall',,,
101,5583,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of methods of securing axe heads. Opie,Drawing of methods of securing axe heads. Opie,Morrab Library,O.102,From unknown book,,,
102,5584,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of methods of securing axe heads. Opie,Drawing of methods of securing axe heads. Opie,Morrab Library,O.103,From unknown book,,,
103,5585,Axe heads and arrow heads,,Quarter Plate Glass Negative,Outlines of 27 Axe heads (to scale).,Outlines of 27 Axe heads (to scale).,Morrab Library,O.104,Stanley Opie,,,
104,5586,Axe heads and arrow heads,,Quarter Plate Glass Negative,Sword and dagger blades drawn to scale.,Sword and dagger blades drawn to scale.,Morrab Library,O.105,Stanley Opie,,,
105,5587,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone axe . Opie,Stone axe . Opie,Morrab Library,O.106,RIC Cat no: 2'1909,Halwin nr Wendron,,
106,5588,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone axe. Opie,Stone axe. Opie,Morrab Library,O.107,RIC Cat no: 2'1909,Halwin nr. Wendron,,
107,5589,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Stone, polished axe.","Stone, polished axe.",Morrab Library,O.108,Stanley Opie,"nr, Falmouth",,
108,5590,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Stone, polished axe.","Stone, polished axe.",Morrab Library,O.109,Stanley Opie,nr. Falmouth,,
109,5591,Axe heads and arrow heads,,Quarter Plate Glass Negative,Pair of socketed axes .,Pair of socketed axes .,Morrab Library,O.110,Stanley Opie,Newlyn,,
110,5592,Axe heads and arrow heads,,Quarter Plate Glass Negative,Pair of socketed axes .,Pair of socketed axes .,Morrab Library,O.111,Stanley Opie,Newlyn,,
111,5593,Axe heads and arrow heads,,Quarter Plate Glass Negative,Pair of socketed axes .,Pair of socketed axes .,Morrab Library,O.112,Stanley Opie,Newlyn,,
112,5594,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone mould for axe (killos).  Found 1849 with small stone bowl in a meadowbelow Alteonun vicarage,Stone mould for axe (killos).  Found 1849 with small stone bowl in a meadowbelow Alteonun vicarage,Morrab Library,O.113,Stanley Opie,,,
113,5595,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone mould for axe (killos).  Found 1849 with small stone bowl in a meadowbelow Alteonun vicarage,Stone mould for axe (killos).  Found 1849 with small stone bowl in a meadowbelow Alteonun vicarage,Morrab Library,O.114,Stanley Opie,,,
114,5596,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of 'Celts and bronze articles from Kenidjack'.,Drawing of 'Celts and bronze articles from Kenidjack'.,Morrab Library,O.115,Stanley Opie,St. Just,,
115,5597,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two palstaves and a flint arrowhead. Opie,"Two palstaves and a flint arrowhead.

The label reads: 

Flint Arrow Head. Locality: Trewithen Moor, Stithiens. 

27'1912/2

Possibly from the RIC, Truro.",Morrab Library,O.116,Stanley Opie,Stithians,,
116,5598,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two palstaves and a flint arrowhead. Opie,"Two palstaves and a flint arrowhead.

The label reads: 

Flint Arrow Head. Locality: Trewithen Moor, Stithiens. 

27'1912/2

Possibly from the RIC, Truro.",Morrab Library,O.117,Stanley Opie,Stithians,,
117,5599,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two palstaves and a flint arrowhead. Opie,"Two palstaves and a flint arrowhead.

The label reads: 

Flint Arrow Head. Locality: Trewithen Moor, Stithiens. 

27'1912/2

Possibly from the RIC, Truro.",Morrab Library,O.118,Stanley Opie,Stithians,,
118,5600,Axe heads and arrow heads,,Quarter Plate Glass Negative,Two palstaves and a flint arrowhead. Opie,Two palstaves and a flint arrowhead. Opie,Morrab Library,O.119,?RIC? Arrowhead RIC Cat 27'1912/2,Stithians,,
119,5601,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of Chert hand-axe.,Drawing of Chert hand-axe. Opie,Morrab Library,O.120,Fig 50 in unknown book,Lizard,,
120,5602,Axe heads and arrow heads,,Quarter Plate Glass Negative,Celts from Bochym,Celts from Bochym. Opie,Morrab Library,O.121,from book,Bochym nr. Mullion,,
121,5603,Axe heads and arrow heads,1910,Quarter Plate Glass Negative,4 Bronze palstaves,"4 Bronze palstaves. Has positives as well as negatives.

RIC Cat nos inc 21'2910, 22'1910 see JRIC vol118 p228",Morrab Library,O.122,,"Site of county offices, Truro",,
122,5604,Axe heads and arrow heads,1910,Quarter Plate Glass Negative,4 Bronze palstaves. Has positives as well as negatives,4 Bronze palstaves. Has positives as well as negativesOpie,Morrab Library,O.122A,"RIC Cat nos inc 21'2910, 22'1910 see JRIC vol118 p228","Site of county offices, Truro",,
123,5605,Axe heads and arrow heads,,Quarter Plate Glass Negative,3 socketed axes,3 socketed axes . Has positives as well as negativesOpie,Morrab Library,O.123,See PZNHAS Trans. (NS) I 1880-1,"Higher Roseworthy, Camborne",,
124,5606,Axe heads and arrow heads,,Quarter Plate Glass Negative,3 socketed axes,3 socketed axes . Has positives as well as negatives.,Morrab Library,O.124,See PZNHAS Trans. (NS) I 1880-1,"Higher Roseworthy, Camborne",,
125,5607,Axe heads and arrow heads,,Quarter Plate Glass Negative,3 socketed axes,3 socketed axes . Has positives as well as negatives.,Morrab Library,O.125,See PZNHAS Trans. (NS) I 1880-1,"Higher Roseworthy, Camborne",,
126,5608,Axe heads and arrow heads,,Quarter Plate Glass Negative,3 socketed axes,3 socketed axes . Opie,Morrab Library,O.126,See PZNHAS Trans. (NS) I 1880-1,"Higher Roseworthy, Camborne",,
127,5609,Axe heads and arrow heads,,Quarter Plate Glass Negative,Group of assorted celts.,Group of assorted celts.,Morrab Library,O.127,Stanley Opie,Camborne,,
128,5610,Axe heads and arrow heads,,Quarter Plate Glass Negative,Group of assorted celts and dagger blade.,Group of assorted celts and dagger blade.,Morrab Library,O.128,Stanley Opie,,,
129,5611,Axe heads and arrow heads,,Quarter Plate Glass Negative,"Axe head, celt and dagger blade.","axe head, celt and dagger blade.",Morrab Library,O.129,Stanley Opie,,,
130,5612,Axe heads and arrow heads,,Quarter Plate Glass Negative,Group of assorted axe heads and celts.,Group of assorted axe heads and celts.,Morrab Library,O.130,Stanley Opie,,,
131,5613,Axe heads and arrow heads,,Quarter Plate Glass Negative,Group of assorted axe heads and celts.,Group of assorted axe heads and celts.,Morrab Library,O.131,Stanley Opie,,,
132,5614,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone axe head.,Stone axe head.,Morrab Library,O.132,Stanley Opie,,,
133,5615,Axe heads and arrow heads,,Quarter Plate Glass Negative,Stone axe head.,Stone axe head.,Morrab Library,O.133,Stanley Opie,,,
134,5616,Axe heads and arrow heads,,Quarter Plate Glass Negative,Spear and Arrow Heads from the New Stone Age,"A display of flint tools reading ""Spear and Arrow Heads from the New Stone Age"".",Morrab Library,O.134,Stanley Opie,"Carn Brea, Camborne",,
135,5617,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of 2 celts.,Drawing of 2 celts.,Morrab Library,O.135,Stanley Opie,"Carn Brea, Camborne",,
136,5618,Axe heads and arrow heads,,Quarter Plate Glass Negative,Drawing of 2 celts.,Drawing of 2 celts.,Morrab Library,O.136,Stanley Opie,"Carn Brea, Camborne",,
137,5619,Axe heads and arrow heads,,Quarter Plate Glass Negative,Spear and Arrow heads from New Stone Age.,Spear and Arrow heads from New Stone Age.,Morrab Library,O.137,Stanley Opie,"Carn Brea, Camborne",,
138,5620,Archaeology,,Quarter Plate Glass Negative,Flint scraper or tools.,Flint scraper or tools.,Morrab Library,O.138,Stanley Opie,Illogan,,
139,5621,Buildings,,Quarter Plate Glass Negative,"Thatched cottage at St Clement, with the church in the background","Thatched Cottage, with the church in the background .",Morrab Library,O.139,Stanley Opie,"St. Clement, nr Truro",,
140,5622,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.140,Stanley Opie,"Veryan, nr Tregony, Truro",,
141,5623,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.141,Stanley Opie,"Veryan, nr Tregony, Truro",,
142,5624,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.142,Stanley Opie,"Veryan, nr Tregony, Truro",,
143,5625,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.143,Stanley Opie,"Veryan, nr Tregony, Truro",,
144,5626,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.144,Stanley Opie,"Veryan, nr Tregony, Truro",,
145,5627,Buildings,,Quarter Plate Glass Negative,Round houses.,Round houses.,Morrab Library,O.145,Stanley Opie,"Veryan, nr Tregony, Truro",,
146,5628,Buildings,,Quarter Plate Glass Negative,Thatched cottage .,Thatched cottage .,Morrab Library,O.146,Stanley Opie,"Veryan, nr Tregony, Truro",,
