,itemId,Title,Description,Creator,Source,Publisher,Identifier,Subject,Rights,Date,Coverage,Format,Type,Contributor
10,13357,Serena Wadham - Box 11 - Women (3),"<p><span>Brown folder 11/1 marked 'Motorcycles/motorcyclists'. SW's mainly female biking friends and associates - Frances Popley, Bea Hawkins et al - and their equipment; cuttings, and a letter from Bea Hawkins 15 Feb. 1979. The photographs are mainly late 1970s/early 80s.</span></p>
<p><span>Brown folder 11/2 marked 'Women's Demos etc'. Various demos involving gender equality, late 1960s/early 70s; images of Shirley Williams, Audrey Wise, Pat Arrowsmith et al.</span></p>
<div><span> </span></div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/11,Women,Morrab Library,,,,,
11,13358,Serena Wadham - Box 12 - Children etc.,"<p><span>Brown envelope 12/1 marked 'School Children N. London', 1960s/70s.</span></p>
<p><span>Brown folder 12/2 marked 'Home-Workers'. Printed material and a few photos on this subject, c. 1977.</span></p>
<p><span>Brown folder 12/3 marked 'Male-Female': miscellaneous interactions between male and female adults and children in various settings, including the street, playgrounds, Speaker's Corner, and interiors including Roger Hilton's cottage.</span></p>
<p>Grey folder 12/4 marked 'Fathers'. A draft article by SW, printed material, and photographs for a 1984 project on three fathers caring for their children, including the painter David Redfern.</p>
<div><span> </span></div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/12,Children,Morrab Library,,,,,
12,13359,Serena Wadham - Box 13 - Alternative,"<p><span>Brown folder 13/1 marked Alternative/Tammo de Jongh/Demos. Prints and contact sheets relating to the Collingwood family at their base near Camberley, and their mystico-erotic activities with personalities such as the artist/cosmologist Tammo de Jongh, Don Dewar and Richard Gardner. Late 1960s.</span></p>
<p>Brown folder 13/2 marked 'Mariella Novotny', containing  prints, cuttings and a draft article about the 'naked novelist', 1972.</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/13,Alternative,Morrab Library,,Camberley,,,
13,13360,Serena Wadham - Box 14 - Miscellaneous projects,"<p><span>Brown folder 14/1A marked 'Hackney Marshes', containing river- and marsh-landscapes probably done in connection with SW's mid-70s river pollution project; but also many miscellaneous items, including street scenes, portrait studies and test shots, from the 1960s to the 80s.</span></p>
<p><span>Blue folder 14/1B containing miscellaneous prints, mainly landscapes in SE England.</span></p>
<p><span>Brown folder 14/2: studies of animals and birds.</span></p>
<p><span>Brown A3 envelope 14/3 marked 'St James's Pentonville Rd': prints of the derelict church, and a letter of 1 Dec. 1983 from Cornerstone Managements Ltd about the planned reconstruction.</span></p>
<div><span> </span></div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/14,,Morrab Library,,,,,
14,13361,Serena Wadham - Box 15A - Personal and experimental (1),"<p><span>Brown folder 15/1 marked 'Prints of collages Ap. 78', containing various photo-collages done by SW, some mounted, and prints pertaining to them.</span></p>
<p><span>Brown A4 paper bag 15/2 marked 'Calibration prints 1980': mainly London street scenes, with some interiors; some annotated on the back with filtration and/or development data.</span></p>
<p><span>White transparent A4 bag 15/3  marked 'Kaleidopix', containing prints combined with a kaleidoscopic lens.</span></p>
<p><span>Brown folder 15/4 marked 'Manipulations - Cut-outs': photo-collages and related prints, including some portraits (e.g. Mariella Novotny) and nudes.</span></p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/15A,,Morrab Library,,,,,
15,13362,Serena Wadham - Box 15B - Personal and experimental (2),"<p><span>Brown folder 15/5 containing (mostly) coloured computer prints, loose or in plastic wallets, some dated; mid-1990s and 2000-1.</span> </p>
<p><span>Plastic wallet 15/6 containing miscellaneous b/w prints of London scenes, SW's flat and a few nude studies; also test shots.</span></p>
<p><span>Brown folder 15/7 containing b/w prints, mostly Noel Rd interiors, and a packet of wedding photos, some mounted.</span></p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/15B,,Morrab Library,,,,,
16,13363,Serena Wadham - Box 16 - Cornwall (1),"<p><span>Brown cardboard envelope 16/1 marked 'St Ives/Women Artists' contains photographs and other material on Barbara Hepworth (1964) and Janet Leach (1984), and includes an ms. card from Hepworth and a draft article, and notes for it, on Leach corrected by the latter.</span></p>
<p>Red plastic folder containing photos of oiled birds and the clean-up following the <em>Torrey Canyon</em> disaster in March 1967.</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/16,Torrey Canyon,Morrab Library,,Cornwall,,,
17,13364,Serena Wadham - Box 17 - Cornwall (2),"<p><span>Blue folder 17/1 containing photos and typed notes on the possible use of Reskajeage Quarry near St Ives for the storage of nuclear waste in 1987.</span></p>
<p>Also cuttings and photographic prints, some in envelopes, some mounted, relating to SW's participation in the campaign against Peter de Savary's proposed residential development in Hayle, 1990-1.</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/17,,Morrab Library,,St Ives,,,
18,13365,Serena Wadham - Box 18 - Cornwall (3),"Loose b/w prints, some mounted, of farming scenes, standing stones, views &c in West Penwith.

Yellow folder 18/1 with scenes and views at and around Georgia, Nancledra.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/18,,Morrab Library,,Nancledra,,,
19,13366,Serena Wadham - Archival Box I - Contact Sheets and Prints,"<p>Groups of mostly black-and-white 35 mm contact sheets, and glossy work-prints, contained in Kodak, Ilford or Agfa photographic-paper boxes. Also a <span>brown cardboard file-box </span>containing an alphabetical index of 6 x 4 cards listing SW's photographic subjects, by topic, place and person. Numerical references are to negatives and contact-sheets.</p>
<p><span>I/A (Agfa): contact-sheets and prints relating to a project on Orthodox Jews, done in May-June) 1965, when SW was living at 62, Ellington St, N7. Includes images of <em>yeshivas </em>in Gateshead and Sunderland, the Avigdor Primary School and Hasmonean Grammar School in London, and Jewish children playing. (See also Box 2).</span></p>
<p><span>I/B (Kodak), marked 'Packington': mostly prints of the buildings and residents of the new Packington estate in Islington. Probably early 1970s.</span></p>
<p><span>I/C (Agfa), marked 'Tests': mostly London scenes, including Hampstead Heath, Islington (with views from SW's flat in Noel Rd), and shots made to test lenses and equipment. Mid-1970s-mid-80s.</span> </p>
<p><span>I/D (Ilford), marked 'Prints, Summer-October 1964, Contact nos. -P 157: prints of people singly and in groups, including the famous Jay Twins, Katherine and Helen.</span></p>
<p><span>I/E (Kodak), marked 'Peace News; CND': prints of demonstrations relating to Vietnam, Biafra, apartheid &amp;c; also squats and occupations (LSE, Hornsey). C.1968-9. (See also Box 8).</span></p>
<p><span>I/F (Kodak), marked 'Popham Prints': social-documentary street scenes around Popham St, Islington, many featuring children. Late 1960s?</span></p>
<p><span>I/G (Ilford), marked 'Prints L576...': miscellaneous scenes and portraits, including shots of BBC location filming, some stage scenes (Michael Rosen's <em>Backbone </em>at the Royal Court), and a picture of the LSO performing. C. late 1960s, when SW was resident at 22 Ailsa Rd, Twickenham.</span></p>
<p><span>I/H (Ilford): colour prints in various formats inscribed with detailed test data, 1986. Includes street scenes, still lifes and portraits (Mary Addington and others), and an A4 self-portrait of SW and two young friends with a motorbike in Noel Rd.</span></p>
<p>I/i (Kodak), marked 'Nudes': studies in various formats (with some cut-outs) of female subjects, some nude or semi-nude, and one nude male. Includes a nude study of Mariella Novotny.</p>
<p><span>I/J (Ilford), marked 'Contact Prints London'</span> : miscellaneous contact sheets, both 35 mm and roll-film formats, including interiors of SW's flat, nature studies, nudes, graffiti and building sites, among others. Mostly mid-1970s.</p>
<p><span>I/K (Ilford), marked 'Men': prints of men in various settings (cafes, sports &amp;c), and a number of (unidentified) portrait studies. C. mid-1970s.</span></p>
<p><span>I/L (Kodak), marked 'Immigrant in London, Prints': extensive selection, in various formats, of pictures of (mostly Afro-Caribbean) immigrants in a range of settings, public, occupational and private, some with detailed captions. Includes a portrait of Michael X and shots of Oswald Mosley addressing a meeting at Islington Town Hall.</span></p>
<p><span>I/M (Kodak), marked 'Political Rally': prints mainly of political subjects, squats &amp;c, c. late 1960s.</span></p>
<p><span>I/N (Gevaert): miscellaneous prints of people and landscapes, including some Cornish.</span></p>
<p><span>I/O (Ilford), marked 'Colour Prints, 1994): A4 format prints of SW's experimental computer images, various titles.</span></p>
<p><span>I/P (Ilford), marked 'Colour Prints, 1995: more experimental colour prints. </span></p>
<p><span>I/Q, yellow card folder marked 'Wild Flowers': large colour prints of flowers, c. 1989-90.: </span></p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/19,,Morrab Library,,,,,
20,13367,"Serena Wadham - Archival Box II - Miscellaneous Prints and Negatives, Various Formats","<p><span>Dark red plastic ring-binder II/A with 10 transparent slip-in transparency pockets (in poor condition), containing cardboard-mounted 35 mm transparencies, mostly in colour, some captioned, and covering various subjects including scenes in Cornwall and London, and SW's 1968 visit to the Basque country of Spain.</span></p>
<p>Brown plastic album II/B serving as a maquette for SW's project on gender relations, including a selection of photos and captions.</p>
<p>Black leatherette negative case containing 1 page of ms titles and 16 holders containing square-format negatives, 1961-3.</p>
<p>Yellow A4 plastic wallet containing 4 small brown envelopes containing roll-format negatives for films 1940, 1941, 1942 and 2092.</p>
<p>A4 Box File II/C containing 2 black plastic packets of  35 mm negative strips, numbered 1151-50 and 1351-1475.</p>
<p>A4 Box File II/D containing 2 black plastic packets of 35 mm negative strips, numbered 1450-1505 and 1508-1614; and one clear plastic bag contain mostly unsequenced 35 mm negative strips, some captioned.</p>
<p>A4 Box File II/E containing 3 brown paper packets of roll-film negative strips, numbered 1544-1654 (?), 1655-1696 and 1698-1779.</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/20,,Morrab Library,,,,,
21,13368,Serena Wadham - Archival Box III - Negatives,"20 bundles of 35 mm negatives, mostly contained in plastic or paper bags; 1 Kodak yellow box containing negs in transparent sleeves.",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/21,,Morrab Library,,,,,
22,13369,Serena Wadham - Archive Box V - Contact sheets and miscellaneous items,"<p>Groups of black-and-white 35 mm and medium-format b/w contact sheets contained in Kodak, Ilford or Agfa photographic-paper boxes.</p>
<p><span>V/1 (Agfa) marked 'Contacts 1 to 60': medium-format and 35 mm Cornish, mostly personal subjects, early 1960s, plus Sir Alec Douglas-Home speaking in Penzance, 13 March 1964 (53). </span></p>
<p><span>V/2 (Ilford): ditto, numbered 1500-1603, covering various London subjects c. mid/late 1970s, including Indira Gandhi at a dinner (1578) and a demonstration at Islington town hall. </span></p>
<p><span>V/3 (Kodak):  ditto, mostly 35 mm, 1170-1269, principally mid-70s London subjects and including SW's Thames Water project (1230-2), female industrial workers (1176-8), Kate Millett (1208) and Midge McKenzie (1224-7); also some Cornish shots (1186-8).</span></p>
<p><span>V/4 (Kodak): ditto, 35 mm, 902-99, mostly early-70s London subjects, including the Packington Estate, gynaecological self-examination story, various women's liberation events and the passage of the Anti-Discrimination Bill in February 1973 (907).</span></p>
<p><span>V/5 (Ilford): ditto, 503/3-618, demonstrations in and around London, late 1960s, including Biafra, the Notting Hill People's Republic (598-600) and other events.</span></p>
<p><span>V/6 (Gevaert): mostly Cornish scenes, 62-150, early 1960s.</span></p>
<p><span>V/7 (Ilford): ditto, various formats, 1708-1835, 1979-80, including Jill Tweedie (1805), plus numerous test shots.</span></p>
<p><span>V/8 (Ilford): various formats, 1098-1169, 1974, scenes in and around London, including the Hampstead Ladies' Pond (1098/1100, 1102-3, 1114, 1125-6 &amp;c).</span></p>
<p><span>V/9 (Ilford): various formats, 1400-99, 1976-7, London and park shots, and studies of the pianist Priaulx Rainier (1466-7).</span> </p>
<p><span>V/10 (Ilford): medium-format shots of W. Cornish coast; also Islington, including various test shots. 1601-96, end 1970s.</span></p>
<p>V/11 (Kodak): mostly 35 mm, 1000-1100, 1974, London subjects, many connected with SW's project on women in society.</p>
<p>V/12 (Ilford): mostly colour contacts, various formats, mid-1980s, of London and Cornish (?) subjects.</p>
<p>V/13 (Ilford): various formats, 1335-99, 1976, mostly London subjects, including a Jewish occasion attended by Harold Wilson (1355-6), and Pauline Fuller's karate classes at the Women's Free Arts Alliance (1357, 1364-5).</p>
<p><span>V/14 (Ilford): ditto, 2019-2189, 1980s, Cornish and London subjects, including Janet Leach (2143).</span></p>
<p><span>V/15 (Ilford): 35 mm, 2408-53, 1990s, Cornish subjects.</span></p>
<p><span>V/16 (Ilford):  various formats, and some colour, 1918-2017, early/mid-1980s, London subjects; Judy Chicago (1920).</span></p>
<p><span>V/17 (yellow): 35 mm, 153-274, mid-1960s, including some of SW's earliest assignments, notably the musicians Julia Langton (193-7), Graham Treacher (202-4), Andrzej Panufnik (268) and Richard Rodney Bennett (269-71); Victoria Station; and her project on Orthodox Jewish education in London and the North East.</span></p>
<p><span>V/18 (Kodak): 35 mm, 401-501, 1967, Cornwall and London, including the <em>Torrey Canyon</em> clean-up (March), hippies, Stokely Carmichael (448-50), a theatrical production, <em>Wonderwall</em>, with Jane Birkin, and coverage of Popham St, Islington (487, 495-6, 499-501).</span> </p>
<p><span>V/19 (Kodak): 35 mm, 621-733, 1968-70; apart from material on the Islington Boat Club (731-3), mostly London political events.</span></p>
<p><span>V/20 (Kodak): 35 mm, 290-397, mid-1960s, including studies of figures in the musical  world, Michael Tippett (278-80), Gwyneth Jones (281), Pierre Boulez (297-9), Yehudi Menuhin (316) and Elizabeth Lutyens (338-9); also Oswald Mosley (301-2), E. M. Forster (329); and extensive material on immigration.</span></p>
<p><span>V/21 (Kodak): 35 mm and some half-frame, 740-901, early 1970s, on a wide variety of subjects, including CND (747-9); Gay Liberation Front demo. (775-6);  <em>Spare Rib</em>/Jill Tweedie (814); Mariella Novotny (819-23); Catherine East (870); Mikis Theodorakis (892-4); Mary Stott (895); the Pankhurst Memorial (897).</span></p>
<p><span>Other items:</span></p>
<p>Transparent bag, marked 2096, of large-format colour transparencies featuring SW's photograph of Barbara Hepworth</p>
<p>20 packets of commercial colour prints from high-street labs, 1988 to mid-90s, designated by RL V/CP..., with following subjects: Hayle Estuary (film 2233) (V/CP1); Penzance, W. Penwith  (film 2419) (V/CP2); 'Cars in Lane', 'Thomases' (film 2250) (V/CP3); home-made change of address cards on photos of Middle Georgia Farm, with list of recipients (film 2144) (V/CP4); SW's Reliant car (film 2186) (V/CP5); Hayle (film 2220) (V/CP6); 'Pilgrimage' (film 2148) (V/CP7); negs only: 'Sue Monroe fireplace in M. Georgia' (film 2151) (V/CP8); Hayle - Carnsew Pool (film 2218) (V/CP9); views (film 2333) (V/CP10); horses (film 2418) (V/CP11); wild flowers (film 2420) (V/CP12); ditto (film 2422) (V/CP13); 'stereos' (film 2429) (V/CP14); stereo views (film 2432) (V/CP15); cross-country bikers (film 2441) (V/CP 16); negs only: film 2443 (V/CP17); Cornish views; dead birds; Goonhilly (film 2445) (V/CP18); haymaking, prob. Georgia Farm (film 2447) (V/CP19); Penzance/Penwith; SW's bike (film 2459) (V/CP 20).</p>
<p>V/CP21, cellophane wallet containing packet of prints: views, and men working on a chimney (film 2457); ditto, 'Building wall, Middle Georgia', March 1996 (film 2458) (V/CP22); ditto, swans, March 1999 (V/CP23).</p>
<p>Small Kodak box with 12 card-mounted colour transparencies, 'From N (214) C (?).</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/22,,Morrab Library,,,,,
23,13370,Serena Wadham - Archival Box VI - Miscellaneous,"<p>A large assortment of  contact sheets, 35 mm transparencies and work-prints of various sizes, some mounted, dating from throughout SW's career from c. 1963.</p>
<p>Two packets of 35 mm negatives, nrs. 1706-2074, in a cardboard container.</p>
<p>One A3 brown enveloped marked 'Anti-Pollution Ship' containing large-format prints, some captioned, from SW's August 1975 project on the Thames Water Authority (1231-2).</p>
<div> </div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/23,,Morrab Library,,,,,
24,13371,Serena Wadham - Archival Box VII - Cornwall,"<p><span>VII/1: a large brown envelope containing press publications and cuttings, mostly <em>The Peninsula Voice</em>, and some correspondence, pertaining to environmental and other issues in the 1980s.</span></p>
<p><span>VII/2 blue cardboard folder marked 'Pre-Historic' containing b/w prints of various ancient sites and ruins.</span></p>
<p><span>VII/3 brown cardboard folder marked 'Castle-an Dinas' containing A4 and larger b/w prints of views, and some mining ruins.</span></p>
<p><span>VII/4 transparent packet containing 11 6x4 colour prints of wildlife subjects and some interiors, including a musical occasion.</span></p>
<p><span>VII/5 brown A4 envelope marked 'Cornwall Brisons Veor' &amp;c containing A4 format b/w prints of views, industrial and ancient sites probably mostly in the vicinity of Cape Cornwall (neg. nrs. in the 1600s).</span></p>
<p>A bundle of 6 yellow packets of late (neg. nrs. in the 2000s) prints and negatives processed by Courtwood of Penzance and annotated by SW.</p>
<p>A bundle of 2 white packets of 6x4 colour prints and negatives (2421, 2440).</p>
<p>A large assortment of loose, mostly b/w prints in A4 and larger formats, showing W. Cornwall views, ancient and industrial monuments and remains, and groups of people. Many are annotated on the reverse with negative numbers and exposure information.</p>
<div> </div>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/24,,Morrab Library,,Cornwall,,,
25,13372,Serena Wadham - Archival Box VIII - Cornwall,"<p><span>VIII/1 yellow Kodak box marked 'Farm Prints': A4 b/w prints of SW's friends and neighbours at Georgia Farm, and some views.</span></p>
<p><span>VIII/2 yellow Kodak box marked 'Contacts 2190-' containing b/w contact sheets of W. Cornwall views, standing stones &amp;c, mostly 35 mm but some medium-format.</span></p>
<p><span>VIII/3 white Ilford box marked 'Contacts 2300-' containing 35 mm/medium format contact sheets of Cornish views and scenes.</span></p>
<p><span>VIII/4 white Ilford box containing A4 experimental b/w prints of W. Cornish landscapes and landmarks.</span></p>
<p>Black plastic album containing 8 exhibition prints of people and views in the vicinity of Georgia Farm; 3 more prints in a pocket at the back. </p>
<p>A loose assortment of b/w prints in various formats, showing W. Cornish scenes, some interiors, an unidentified shipwreck, and SW on a mountain bike. </p>
<p>A yellow cardboard wallet marked 'Cornwall Prints May 2005' containing an undated colour booklet, <em>Antiquities of Penwith</em>; various b/w prints, including some computerised experimental ones, of W. Cornish scenes including a procession with music in Market Jew Street.</p>",Serena Wadham,Estate of Serena Wadham,Morrab Library,SWA/25,,Morrab Library,,Cornwall,,,
26,14750,"Kate Millett, feminist author","Kate Millett, a British born American writer and feminist, author of the bestselling 'Sexual Politics' (1970) and founder of the Women's Art Colony at Poughkeepsie, N.Y. Times magazine described her as ""the Mao Tse-tung of Womens' Liberation"".",Serena Wadham,,,SWA.EX.001,,,1975,,Silver Bromide Print,Photograph,
27,14751,"Dr Young of Thames Water Authority, Biologist","Written by Serena Wadham on reverse of print:
""Dr Young of the Thames Water Authority steering their scientific pollution control vessel, ""Thames Water'.  She is a biologist.""",Serena Wadham,,,SWA.EX.002,,,1975-08,River Thames,Silver Bromide Print,,
28,14752,Mrs Pat Hanlon at her bicycle repair shop,Mrs Pat Hanlon at her shop where she sells and repairs bicycles.,Serena Wadham,,,SWA.EX.003,,,1969-1975,"Islington, London",Silver Bromide Print,Photograph,
29,14753,A woman (Aggie) preaches at Speakers' Corner,"Written on the back of the print by Serena Wadham
'A woman preaches at Speakers' Corner'
(Summer 1975)",Serena Wadham,,,SWA.EX.004,,,1975,Speakers' Corner Hyde Park London,Silver Bromide Print,Print,
30,14755,Mrs Watson loves driving her coach,"""Mrs Watson loves driving her coach.  She drives from Addlestone to Stevenage every day.  The 70 miles take 3½ hours, and she has 15 minutes to check the money.  Her husband drives a bus"".",Serena Wadham,,,SWA.EX.005,,,1973-1974,"Addlestone, or Stevenage",Silver Bromide Print,Photograph,
31,14756,Miss Daisy Nolan servicing teleprinters in a Post Office factory,"written on the back of the print by Serena Wadham:
""Daisy Nolan Teleprinters P.O. factory in Islington""",Serena Wadham,,,SWA.EX.006,,,1973,"Islington, London",Silver Bromide Print,,
32,14757,Anna Zee and Sheonagh Ravensdale of the Women's Motorcycle Workshop,"Despite an early crash that prevented her becoming a professional musician, Serena Wadham was a lifelong motorcycling enthusiast and belonged to at least one women's  biking organisation.",Serena Wadham,,,SWA.EX.007,,,1982-11,London,Silver Bromide Print,Photograph,
33,14759,Ani Gale,"Written on the back of the print by Serena Wadham :
""Ani Gale (R) Captain of the British section of the Women's International Motorcycle Association, welcomes a new arrival at the annual rally near Coventry""",Serena Wadham,,,SWA.EX.008,,,1975-1979,near Coventry,Silver Bromide Print,Photograph,
34,14760,Pauline Fuller,"Written on the back of the print by Serena Wadham :
""Pauline Fuller shows a pupil how to angle her legfor a karate kick""",Serena Wadham,,,SWA.EX.009,,,1976,,Silver Bromide Print,Photograph,
35,14761,Ted Child and Wendy,One of Serena's photographs of the characters around her home in Islington in the 1960s and 70s.  Written on the back of the print by Serena Wadham : 'Ted Child and Wendy',Serena Wadham,,,SWA.EX.010,"""The woman essentially serves the man in exchange for care and protection"" (Sheila Rowbotham).  The picture and quotation are from an album compiled by Serena Wadham illustrating the role of women and girls in society.",,1968-1973,Islington London,Silver Bromide Print,Photograph,
36,14762,Protest at Guildford School of Art,"Written on the back of the print by Serena Wadham :
""At Guildford the students wired this generator to replace the electricity which had been cut off""",Serena Wadham,,,SWA.EX.011,,,1968,Guildford School of Art,Silver Bromide Print,Photograph,
37,14763,Student Protest,Police remove a student protester. Part of Serena's documentation of 'sit-ins' in art colleges in 1968.,Serena Wadham,,,SWA.EX.012,,,1968,London,Silver Bromide Print,Photograph,
38,14764,Powis Square Notting Hill London,"Written on the back of the print by Serena Wadham :
""Entering Powis Square, Notting Hill, just after it had been liberated on the 15th June 1968.""",Serena Wadham,,,SWA.EX.013,,,1968-06-15,Powis Square Notting Hill London,Silver Bromide Print,Photograph,
39,14765,Squat in Islington,,Serena Wadham,,,SWA.EX.014,,,1968,"Islington, London",Silver Bromide Print,Photograph,
40,14766,Squat in Ilford,"Four policemen talk together outside an illegal squat in Ilford.  Three faces look out from the building, one person has a loudspeaker and posters in the window declare 'Occupied by London Squatters'.",Serena Wadham,,,SWA.EX.15,,,1968,"Ilford, London",Silver Bromide Print,Photograph,
