,dct:identifier,dct:title,dct:provenance,dct:date,dct:rights,dct:format,dct:type,dct:identifier,dct:spatial,dct:subject,dct:description,dct:publisher,dct:creator,dct:source,dct:isPartof,schema:copyrightNotice,schema:license,schema:creator,schema:publisher,schema:identifier
120,15874,"Chamber tomb, Bant's Carn, Isles of Scilly",Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0121,Isles of Scilly,Architecture,"Ancient burial chamber, located St. Mary's,",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15872,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:d37b04ee-6169-4669-9744-ce959c05af5a
121,15875,"Chamber tomb, Bant's Carn, Isles of Scilly 2",Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0122,Isles of Scilly,Architecture,"Ancient burial chamber, located on St. Mary's, Isles of Scilly",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15873,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:429fd336-fdc2-4136-9528-dc7ea2f143e6
119,15873,"Old Man of Gugh 2, Isles of Scilly",Margaret Orchard,c. 1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0120,Isles of Scilly,Architecture,Ancient standing stone located on St. Agnes,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15873,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:22687104-1c0e-4f93-be80-429b7e9a6e7fa
130,15889,Zennor Quoit viewed from the east,Margaret Orchard,1964,Morrab Library,35mm Slide,Photograph,ORCH.SL.0131,Zennor,Architecture,Overview,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15889,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:ea869817-e0a4-4279-adeb-c33f5391817f
152,15923,Newlyn Centenary Primitive Methodist Church,Margaret Orchard,1987,Morrab Library,35mm Slide,Photograph,ORCH.SL.0153,Newlyn,Buildings,"Located on Gwavas Road on St Peter's Hill. Built in 1927 at cost of 5,047 pounds",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15923,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:4f1db9ee-7128-47ab-aa3a-0e1d7de5fbac
178,15974,Billy Bray's Chapel interior (location unknown) 1,Margaret Orchard,2003,Morrab Library,35mm Slide,Photograph,ORCH.SL.0179,Cornwall,Buildings,"Cornish Evangelist and early itinerate Methodist preacher, born at Twelveheads near Truro in 1794, died 25th May 1868 aged 74",Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15974,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:66e41f34-4908-4d2d-b219-e6ce4710bf84
179,15975,Billy Bray's Chapel interior (location unknown) 2,Margaret Orchard,2004,Morrab Library,35mm Slide,Photograph,ORCH.SL.0180,Cornwall,Buildings,As ORCH.SL.0180,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15975,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:e9830d79-b7ef-434d-8d50-d52e54e6b9cc
180,15976,St Levan Church,Margaret Orchard,1982,Morrab Library,35mm Slide,Photograph,ORCH.SL.0181,St Levan,Buildings,Charles Hore pictured stood next to the bench end carved by himself for the Church. Charles Hore was a Cornish Bard,Morrab Library,,https://photoarchive.morrablibrary.org.uk/items/show/15976,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,ohos:999ecf48-b016-49a8-9896-93a9bd8f732d
6,15606,Floods at Newlyn Coombe area,Margaret Orchard,c.1890,Morrab Library,35mm Slide,Photograph,ORCH.SL.0007,Newlyn,Acts,"Floods Newlyn Coombe, St. Peter's Church visible centre rear built in 1866",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
7,15607,"Floods at the bottom of Alexander Road, Penzance",Margaret Orchard,c.1890,Morrab library,35mm Slide,Photograph,Penzance,Penzance,Acts,Overview at junction of Western Promenade,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
8,15608,Storm damage Newlyn/Penzance seafront,Margaret Orchard,Jan-79,Morrab Library,35mm Slide,Photograph,ORCH.SL.0009,Penzance,Acts,View of beach and foreshore near the bowling green pavilion,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
9,15609,"Flooded road Bone Valley, Heamoor",Margaret Orchard,c.1976,Morrab Library,35mm Slide,Photograph,ORCH.SL.0010,Heamoor area,Acts,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
10,15618,Stranded whales Eastern Green beach near Penzance,Margaret Orchard,19111-07-01,Morrab Library,35mm Slide,Photograph,ORCH.SL.OO36,Penzance,Animals,Stranded whales,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
11,15619,Stranded whales at Eastern Green near Penzance 2,Margaret Orchard,01/07/1911,Morrab Library,35mm Slide,Photograph,ORCH.SL.0037,Penzance,Animals,Same location as ORCH.SL.0036,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
12,15620,"Ash Wednesday, post storm March 1962",Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0011,Penzance,Acts,Location bottom of Morrab Road at the junction with the promenade Penzance,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
13,15621,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0012,Penzance,Acts,Storm damage to the Eastern end of the promenade,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
14,15622,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0013,Penzance,Acts,Storm damage to the Penzance promenade mid section,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
15,15623,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0014,Penzance,Acts,Damage to Eastern end of the promenade Penzance,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
16,15624,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0015,Penzance,Acts,Damage to the Penzance promenade at the Eastern end,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
17,15625,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0016,Penzance,Acts,Penzance promenade Eastern end,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
18,15626,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0017,Penzance,Acts,Penzance promenade mid section,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
19,15636,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0018,Penzance,Acts,Penzance promenade mid section,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
20,15637,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0020,Penzance,Acts,Penzance promenade mid section,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
21,15638,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0021,Penzance,Acts,Jubilee Pool damage to the sea wall,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
22,15639,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0022,Penzance,Acts,Wherrytown cottages (now demolished) looking East,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
23,15640,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0023,Penzance,Acts,"Damage to the Bolitho Gardens at Wherrytown, Bijou House in view",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
24,15641,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0024,Penzance,Acts,,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
25,15642,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0025,Penzance,Acts,"Larrigan Wherrytown, Bolitho Gardens breached sea wall",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
26,15643,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0026,Penzance,Act,Extensive damage to the Bolitho Gardens and foreshore,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
27,15644,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0027,Penzance,Acts,Extensive damage to the Bolitho Gardens and breached seawall,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
28,15645,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0019,Penzance,Acts,View to seaward Wherrytown river and bridge,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
29,15646,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0028,Penzance,Acts,"Lariggan Bridge, looking East across Bolitho Gardens",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
30,15647,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0029,Penzance,Acts,"Lariggan Bridge area, looking to Newlyn Harbour",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
31,15648,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0030,Penzance,Acts,Eastern seafront looking East over Bolitho Gardens,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
32,15649,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0031,Newlyn,Acts,"Tolcarne Newlyn, wreckage of boat on the car park",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
33,15650,Ash Wednesday post storm damage,Margaret Orchard,Mar-62,Morrab Library,35mm Slide,Photograph,ORCH.SL.0032,Newlyn,Acts,,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
34,15651,"Stormy seas, Loe Bar beach",Margaret Orchard,Feb-66,Morrab Library,35mm Slide,Photograph,ORCH.SL.OO33,Loe Bar,Acts,Beach and heavy sea,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
35,15652,A30 flooded road at Buryas Bridge,Margaret Orchard,Nov-66,Morrab Library,35mm Slide,Photograph,ORCH.SL.0034,Buryas Bridge,Acts,"Garage at Buryas Bridge, flooded road",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
36,15653,Buryas Bridge on the A30,Margaret Orchard,Nov-66,Morrab Library,35mm Slide,Photograph,ORCH.SL.0035,Buryas Bridge,Acts,Flooded road with vehicle and the garage,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
37,15664,Sleeping Fox,Margaret Orchard,Unknown,Morrab Library,35mm Slide,Photograph,ORCH.SL.0038,Unknown,Animals,Location unknown,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
38,15665,"Cornish Chough, the national bird of Cornwall",Margaret Orchard,Jul-73,Morrab Library,35mm Slide,Photograph,ORCH.SL.0039,Cornwall,Animals,Pictured on a rock face,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
39,15666,Donkey and Duckpond,Margaret Orchard,c.1900,Morrab Library,35mm Slide,Photograph,ORCH.SL.0040,Lamorna Mill,Animals,Location near Lamorna Mill,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
40,15667,Penzance Theatre Playbill,Margaret Orchard,1787-07-10,Morrab Library,35mm Slide,Photograph,ORCH.SL.0041,Penzance,Arts,"Advertising the play Duenna, to be staged at the New Theatre, Penzance.

Location possibly Chapel Street area.",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
41,15668,Cornwall Artillery Volunteers helmet plate badge,Margaret Orchard,c.1890,Morrab Library,35mm Slide,Photograph,ORCH.SL.0042,Cornwall,Arts,Manufactured in white metal,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
42,15669,"Bench end, St. Levan Church near Porthcurno",Margaret Orchard,c.1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0043,St. Levan,Arts,"Carved by Charles Hoare, father of Margaret Orchard",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
43,15685,Crown of Corn,Margaret Orchard,c.1983,Morrab Library,35mm Slide,Photograph,ORCH.SL.0044,Penwith,Arts,"Local custom, crafted by Cyril B. Orchard",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
44,15686,Bell ropes,Margaret Orchard,c.1983,Morrab Library,35mm Slide,Photograph,ORCH.SL.0045,Penzance,Arts,Selection of Bell ropes crafted by Cyril B. Orchard,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
45,15687,Ship in bottle neck,Margaret Orchard,c.1983,Morrab Library,35mm Slide,Photograph,ORCH.SL.0046,Penzance,Arts,Ship in bottle crafted by Cyril B. Orchard,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
46,15688,Map of Mousehole village and harbour,Margaret Orchard,c.1890,Morrab Library,35mm Slide,Photograph,ORCH.SL.0047,Mousehole,Arts,Overview,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
47,15689,St. Michael's Mount castle site plan,Margaret Orchard,Unknown,Morrab Library,35mm Slide,Photograph,ORCH.SL.0048,St. Michael's Mount,Arts,Plan of the main building of the castle,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
48,15690,St. Michael's Mount engraving,Margaret Orchard,c.1600,Morrab Library,35mm Slide,Engraving,ORCH.SL.0049,St. Michael's Mount,Arts,From a 17th century engraving,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
49,15692,Tresvennack Pillar,Margaret Orchard,1982,Morrab Library,35mm Slide,Photograph,ORCH.SL.0050,Penzance,Architecture,"Ancient standing stone located at Chyenhal, Penzance. Possibly the tallest standing stone in West Penwith",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
50,15693,"Gold find from Rosemorran, Gulval",Margaret Orchard,1982,Morrab Library,35mm Slide,Photograph,ORCH.SL.0051,"Rosemorran, Gulval",Architecture,Ancient British torque bracelets found at Rosemorran,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
51,15694,Mulfra Quoit,Margaret Orchard,1982,Morrab Library,35mm Slide,Photograph,ORCH.SL.0052,Bodrifty,Architecture,"Mulfra Quoit located above New Mill, picture shows Margaret Orchard on the left with her family",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
52,15702,Boleigh Fugou,,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0053,Boleigh Hill,Architecture,"Iron Age structure, located near St. Buryan",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
53,15703,Boscawen-Un,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0054,Boscawen,Architecture,"Bronze Age stone circle, located near St. Buryan. the site of the first Cornish Gorsedd 1928",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
54,15704,Rosemorran Cross,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0055,Gulval,Architecture,Located near Gulval,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
55,15705,Four Parish Boundary Stone,Margaret Orchard,1969,Margaret Orchard,35mm Slide,Photograph,ORCH.SL.0056,Vicinity of Higher Kerrowe,Architecture,"The four Parishes being Morvah, Zennor, Gulval, Madron, the  stone being located in the vicinity of Higher Kerrowe",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
56,15706,Grinding Quern,Margaret Orchard,1970-2,Morrab Library,35mm Slide,Photograph,ORCH.SL.0057,"Rosemorran, Gulval",Architecture,"Found at Rosemorran, Gulval, September 1969",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
57,15707,Standing stone the Blind Fiddler,Margaret Orchard,1980,Morrab Library,35mm Slide,Photograph,ORCH.SL.0058,Catchall,Architecture,Located at Catchall in the locality Sancreed,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
58,15708,"Cupstone, location Boskennel",Margaret Orchard,1973,Morrab Library,35mm Slide,Photograph,ORCH.SL.OO59,Boskennel,Architecture,Near Sancreed,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
59,15709,"Stone Pillar, Tresvennack",Margaret Orchard,1977,Morrab Library,35mm Slide,Photograph,ORCH.SL.0060,Tresvennack,Architecture,Large standing stone known as Tresvennack Pillar in the locality of Drift,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
60,15710,Chysauster Village 1,Margaret Orchard,1971,Morrab Library,35mm Slide,Photograph,ORCH.SL.OO61,Newmill,Architecture,"Ancient Romano-British village site, located near Newmill",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
61,15711,Chysauster Village 2,Margaret Orchard,1971,Morrab Library,35mm Slide,Photograph,ORCH.SL.0062,Newmill,Architecture,"Ancient Romano-British village site, located near Newmill",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
62,15712,Chysauster Village 3,Margaret Orchard,1971,Morrab Library,35mm Slide,Photograph,ORCH.SL.0063,Newmill,Architecture,"Ancient Romano-British village site, located near Newmill",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
63,15713,"Chysauster Village 4, aerial view",Margaret Orchard,1987,Morrab Library,35mm Slide,Photograph,ORCH.SL.0064,Newmill,Architecture,"Aerial view of the Ancient Romano-British village site, located near Newmill",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
64,15725,"Carn Gloose, St Just",Margaret Orchard,1966,Morrab Library,35mm Slide,Photograph,ORCH.SL.0065,St Just,Architecture,"Carn Gloose, Ballowall Barrow, Chambered Cairn",Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
65,15726,"Carn Gloose, aerial view 1",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0066,St Just,Architecture,Aerial view of the chambered barrow,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
66,15727,"Carn Gloose, aerial view 2",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0067,St Just,Architecture,Aerial view of the chambered barrow 2,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
67,15728,"Selus stone, St Just Church",Margaret Orchard,1970,Morrab Library,35mm Slide,Photograph,ORCH.SL.0068,St Just,Architecture,Located in the interior of St Just Church,Morrab Library,,,https://photoarchive.morrablibrary.org.uk/collections/show/21,Copyright Morrab Library,,Morrab Library,Morrab Library,
