Level,Location,SHC Ref No,System Ref No,Title,Date,Quantity,Column8,Column21,Column22,Column23,Column24,Column26,Column27,Column29
Item,"Surrey History Centre, Woking",5392/1/4,5392/1/1/1/4,"Audio tape recording of interview with Frank Brown of Guildford, by Walter Thelwall, taken at Brown's home in Agraria Road.\r\n\r\nMr Brown worked at Dennis for 33 years, then became an inspector for Weyside Engineering [see interview with Percy Hole -/1 above].\r\n\r\nTopics of conversation as they arise include: \r\n\r\nRecollections of Frank's apprenticeship: he went to Guildford Technical College on a 2 year scholarship, and was then found an apprenticeship.  He chose Dennis from a choice of 'three or four', and started work in Aug 1917.\r\n\r\nHe did stints in various parts of the factory, beginning with grinding.  The apprenticeship finished in 1921, when he left as an 'improver'.  he returned to Dennis after 2 years.\r\n\r\nRecollections of automation of the machines.  Frank had charge of 2 machines.  Mr Thelwall operated a semi-automatic mill.\r\n\r\nRecollections of the ability of foreman Lance Edwards, and the skill required to operate machinery: even the experienced operator was injured on the automatic turret lathe.\r\n\r\nNew machines were acquired when Dennis moved to Woodbridge Hill.\r\n\r\nRecollections of the General Strike of 1926.  Dennis men were to be dismissed, but the partners wanted the master gearcutter Rapson back, so they took everyone.\r\n\r\nFrank went to London as a special constable, but the strike was over when he arrived.  He claims that 'nobody's heart was in it'.\r\n\r\nFrank's recollections of what he describes as the obstructiveness of the unions, when he was a mechanical inspector [at Weyside Engineering].\r\n\r\nRecollections of the Dennis subsidy engine, which was slow but long-lasting.  The development of the Big 4 and the Light 6, when 7-8 draughtsmen studied a German vehicle.\r\n\r\nMr Thelwall's recollection of  working on a machine known as the 'white elephant', later a cam shaft wheel.\r\n\r\nThe recording ends abruptly.  The sound quality of the original recording is very poor.\r\n\r\n43 mins approx",1983,,,,,Open,,,,
Item,"Surrey History Centre, Woking",5392/3/1,5392/3/1/1/1,"Audio tape recording of interview with Mr Robinson, an engineer at Dickensen and Burne of Guildford, who served in the Royal Flying Corps in World War I.\r\n\r\nThe conversation begins with reference to Mr Robinson's posting to Alexandria [Egypt], then recalls his apprenticeship, and earlier training, before returning to his war time experiences.\r\n\r\nHe was apprenticed with Dickensen and Burne, engineers, whose workshops were in Leapale Lane, Guildford.  The railings ('bars') in front of the workshop 'are still there'.  Their foundry was where the [Yvonne Arnaud] theatre now is, where iron moulding and casting (using various metals) took place.  They made high speed steam engines for use on ships, boat reversing gears and 'all sorts', including work for Dennis Bros, Guildford.  Robinson worked as a pattern maker.\r\n\r\nThe firm was later the 'Hays Brothers', one of whom worked in the drawing office, the other as an engineer.\r\n\r\nMr Robinson volunteered for the Queen's Regiment and began his training as a private.  But when those with engineering experience were asked to stand forward, he did and was 'glad to do something more interesting'. Describes being tested at a site in Cobham for his ability to 'make a dovetail'.  He was quickly approved, and sent for training in flying at Beverley [Yorkshire] racecourse (touchdowns are described).  'There was no real flying corps' at that time.\r\n\r\nHe was sent to Alexandria, and eventually 'up the line' to Jerusalem, after being sent to Mesopotamia 'by mistake'.  He met T E Lawrence [of Arabia] and General Edmund Allenby [later Field Marshal Viscount Allenby of Megiddo] (described).\r\n\r\nDescribes preparing aircraft and fitting bombs.\r\n\r\nMr Robinson flew an RE8 12 cylinder.\r\n\r\nWhen he was being shown how to fly it, half the wing fell off.  He once hit a bell tent while taking off, and a man was killed: neither he nor his observer, a 2nd lieutenant knew what had happened.\r\n\r\n26 mins approx",1976,,,,,,Open,,,
Item,"Surrey History Centre, Woking",6368/12/15,6368/12/3/2,"Audio tape found with file and script that appears to be a recording of the wartime memories of two women, Mrs Quinnell and Eve Savage [of Leatherhead], by Joan Macalpine",nd [1987],,,,,,Open,,,
Item,"Surrey History Centre, Woking",6767/1,6767/1/1/1/1,"Tape recording of an interview between the 7th Earl of Onslow and Brian Wilson in which Lord Onslow describes his views on the enactment in November 1999 of the Bill for the abolition of the rights of hereditary peers to sit in the House of Lords.\r\n\r\nLord Onslow opens by summarising the history of the House of Lords from origin in the middle ages to the reforms occasioned by the Reform Act, 1832, the Home Rule Bill, 1896, and the Parliament Act, 1911 (1&2 Geo.V, ch.13).\r\n\r\nHe briefly sets out his opinion of how the reform should have been organised before going on to describe his part in the events leading to the enactment of the Bill and the creation of a new 'Stage 1' House of Lords, pending a final decision as to the constitution of the second chamber.\r\n\r\nHe concludes by stating his belief that the current House of Lords [which includes 92 hereditary peers from all parties who were selected by the outgoing peers] has been granted new legitimacy by the reforms and is thus, he feels, more powerful.\r\n\r\nDuration: c.45 mins.",1 Dec 1999,,,,,Open,,,,
Collection,"Surrey History Centre, Woking",6904,6904,BYFLEET ORAL HISTORY GROUP: INTERVIEWS WITH BYFLEET RESIDENTS,2000-2001,,Each tape carries the BOHG reference number. The contents of tapes 1-16 are described in a file of interview summary sheets but not a full transcript. This file is held with the depositor's file and is not to be produced. All the tapes have been copied from originals held by the group.,,,,Open,,"At present this collection is deposited for storage only and is not to be made available to the public. Anyone wishing to listen to the tapes should contact the project coordinator of BOHG, Mrs P Holroyde, Lismore, 10 Weymede, Byfleet, Surrey, KT14 7DG, for details of the group's loan scheme.","Deposited by the project coordinator of Byfleet Oral History Group, in November 2000 and April 2001.  In September 1999 Byfleet Oral History Group (BOHG) was established as a branch of Byfleet Heritage Society. The group successfully secured funding for a two phase initiative under the Help the Aged the Millennium Awards scheme. Phase I of the project was to collect on audio tape, life histories and reminiscences of people who currently, or have formerly lived or worked within the boundaries of the ancient parish of Byfleet. This at present numbers 27 interviews, with more planned. Phase II of the project has successfully established a loan scheme for the tapes, whereby local residents, teachers and students may borrow the tapes for rese  Tapes are listed in the order they were compiled by BOHG, which is not necessarily in chronological order of interview. Tapes BOHG/HTA/22 & -/25 have not yet been compiled but the numbers already allocated.arch or recreational purposes.\r\n\r\nThe project received an Help the Aged award in January 2001 and has been allocated further funding for a new series of interviews based around life in domestic service in Byfleet."
Item,"Surrey History Centre, Woking",6904/1,6904/1/1/1/1,Oral history tape interview of Mrs Winnie Othen (BOHG/HTA/01).  1 tape,7 Feb 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/2,6904/1/1/1/2,Oral history tape interview of Mrs Kath Bright (BOHG/HTA/03).  1 tape,18 Feb 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/3,6904/1/1/1/3,Oral history tape interview of Mr Howard Cook (BOHG/HTA/03).  6 tapes,23 Feb 2000 -24 Feb 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/4,6904/1/1/1/4,Oral history tape interview of Olive Kimber (BOHG/HTA/04).  1 tape,7 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/5,6904/1/1/1/5,Oral history tape interview of Mrs Sheila Bailey (BOHG/HTA/05).  1 tape,23 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/6,6904/1/1/1/6,Oral history tape interview of Mr Jack Bailey (BOHG/HTA/06).  2 tapes,23 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/7,6904/1/1/1/7,Oral history tape interview of Mr Tom Hughes (BOHG/HTA/07).  1 tape,23 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/8,6904/1/1/1/8,Oral history tape interview of Mrs Mary McIntyre (BOHG/HTA/08).  2 tapes,26 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/9,6904/1/1/1/9,Oral history tape interview of Mrs Pat Andrews (BOHG/HTA/09).  2 tapes,30 Mar 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/10,6904/1/1/1/10,Oral history tape interview of Elsie McMahon (BOHG/HTA/10).  2 tapes,9 Apr 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/11,6904/1/1/1/11,Oral history tape interview of Mr Gerald McMahon (BOHG/HTA/11).  1 tape,17 Apr 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/12,6904/1/1/1/12,Oral history tape interview of Mrs Ivy Wye (BOHG/HTA/12).  3 tapes,7 May 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/13,6904/1/1/1/13,Oral history tape interview of Mr Lief Mills (BOHG/HTA/13.  3 tapes,28 May 2000 -5 Jun 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/14,6904/1/1/1/14,Oral history tape interview of Mr Leonard Leech (BOHG/HTA/14).  1 tape,7 Jul 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/15,6904/1/1/1/15,Oral history tape interview of Mrs Joan Hunt (BOHG/HTA/15).  4 tapes,21 Jul 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/16,6904/1/1/1/16,Oral history tape interview of Mrs Gill Mills (BOHG/HTA/16).  1 tape,8 Aug 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/17,6904/1/1/1/17,Oral history tape interview of Miss Patience Bruzaud (BOHG/HTA/17).  1 tape,16 Aug 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/18,6904/1/1/1/18,Oral history tape interview of Miss Angela Spencer (BOHG/HTA/18).  1 tape,8 Oct 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/19,6904/1/1/1/19,Oral history tape interview of Mr Gordon Fludder and Mrs Cynthia Kelly (BOHG/HTA/19).  3 tapes,30 Oct 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/20,6904/1/1/1/20,Oral history tape interview of Mr Gordon Fludder and Mr Victor Fludder (BOHG/HTA/20).  2 tapes,8 Dec 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/21,6904/1/1/1/21,Oral history tape interview of Mr Gordon Fludder and Mrs Janet Fludder (BOHG/HTA/21).  5 tapes,7 Nov 2000 -29 Jan 2001,,,,,Open,01/01/2032,,,
Item,"Surrey History Centre, Woking",6904/23,6904/1/1/1/23,Oral history tape interview of Mr Denis Jacobs (BOHG.HTA/23).  7 tapes,23 Jan 2001 -5 Feb 2001,,,,,Open,01/01/2032,,,
Item,"Surrey History Centre, Woking",6904/24,6904/1/1/1/24,Oral history tape interview of Mrs Rosalie Hankin (BOHG/HTA/24).  1 tape,19 Nov 2000,,,,,Open,01/01/2031,,,
Item,"Surrey History Centre, Woking",6904/26,6904/1/1/1/26,Oral history tape interview of Mrs E M Green (BOHG/HTA/26). 1 tape,16 Mar 2001,,,,,Open,01/01/2032,,,
Item,"Surrey History Centre, Woking",6904/27,6904/1/1/1/27,Oral history tape interview of Mr K Green (BOHG/HTA/27).  1 tape,16 Mar 2001,,,,,Open,01/01/2032,,,
Collection,"Surrey History Centre, Woking",6943,6943,THE OTTERSHAW SOCIETY: OTTERSHAW SURVEY,EARLY 19TH CENT-2018,,"The complete records deposited here are not comprehensively indexed, although text in each part contains cross references to the others.  The most comprehensive coverage is provided by the text accompanying the photographic survey, -/1/1: principal places and buildings mentioned are listed in the catalogue description below, -/1/2-12, 14.  Researchers interested in Ottershaw people and events will find much material in -/2/-, in the topics 'folders' and in the photographic sequence, as these are listed below.",Open,,,There are no access restrictions.  Copying of photographs is subject to copyright as specified in the text of the Survey.,"Deposited by Mrs Hannah Lane of Ottershaw in January 2001; revised editions deposited in April 2007, April 2008, July 2012 and May 2018.","The Ottershaw Survey, a photographic, written and topographical survey, was compiled by Hannah Lane, secretary of the Ottershaw Society, on behalf of the Society.\r\n\r\nThe project began as a photographic survey, to record a 'snapshot' of the village as it was in 1995, for which a grant was awarded by Rural Action.  This work became the basis for a more extensive undertaking, covering the development of the village of Ottershaw (and including Stonehill, Foxhills, Botleys and Silverlands) from c.1800, including oral history and documentation of a variety of collected records.  Mrs Lane continued to collect information and further material after depositing the original Survey: her revised text of 2018  has replaced the original version and first and second  revisions (2008 and 2012), and additional photographs and papers have been inserted in the series.  In 2018, Mrs Lane decided 'it was a suitable time to end my research - the end of an era',  since under the new Local Plan for Runnymede Borough, the village of Ottershaw and its environs, to date designated Green Belt, were set to change beyond recognition with the creation of large areas of housing and new roads.  The last edition of the text records those areas forecast to be principally affected.",
Item,"Surrey History Centre, Woking",6994/box26,6994/1/8,"Tape recorded interview between Mr & Mrs Sayer and Lady Boyd, founder of the Burwood Park School for the Deaf",9 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",7053/1,7053/1/1/1/1,"Audio tape recording of an interview with Dorothy Whorton, nee Wall, known as Ted, of Rosebery Road, Epsom, discussing stories and memories of Langley Vale, 1922-1945.\r\n\r\nA summary of the interview appears in 'Langley Vale-Memories of a Surrey Village', pp45-46",1999,,,,,Open,01/01/2030,,,
Item,"Surrey History Centre, Woking",7053/2,7053/1/1/1/2,"Audio tape recording of an interview with Hazel Banks, née Wright, of 120 Rosebery Road, Epsom, discussing her childhood in Langley Vale during World War II.\r\n\r\nA summary of the interview appears in 'Langley Vale-Memories of a Surrey Village', pp60-62",1999,,,,,,Open,CLO,,
Item,"Surrey History Centre, Woking",7053/8,7053/1/1/1/3,"Audio tape recording of an interview with Tom Hampshire recalling his memories of village residents [of Langley Vale, Epsom Downs] as prompted by 1940s Kelly's directory",2004,,,,,Open,01/01/2035,,,
Item,"Surrey History Centre, Woking",7155/13/4/1,7155/13/4/1,"CD recordings of interviews with:\r\n\r\nHilary Alder, Ockenden trustee;\r\nRoy Alder, retired DHSS Ministry private secretary;\r\nAnonymous Vietnamese couple helped by Ockenden;\r\nMike Atkinson, Ockenden treasurer;\r\nJames Beale, Ockenden trustee and chief executive;\r\nRamiza Bektic, Bosnian woman whose daughter was brought to Britain for medical treatment by Ockenden;\r\nMaggie Cade, Ockenden administrator at the Corner House, Birmingham;\r\nAlexia Coke, Ockenden sponsor;\r\nJenny Dang, Cambodian refugee helped by Ockenden;\r\nEnid Denton, Ockenden employee;\r\nVicki Donnelly, Ockenden sponsor;\r\nThuy Duong, Vietnamese refugee helped by Ockenden;\r\nJanet Faller, Ockenden employee;\r\nSarte Janovskis, one of 'first five girls' helped by Ockenden;\r\nMargaret Kemp, Ockenden employee;\r\nChristina Lawson, Mitcham County Girls' School student who attended Ockenden sixth form conferences;\r\nJosef Lobodzic, DP camp refugee helped by Ockenden;\r\nChi Hung Mach, Vietnamese refugee helped by Ockenden;\r\nDenise Moll, secretary to Joyce Pearce;\r\nAilsa Moore, Ockenden executive director;\r\nPat Naylor, physiotherapist who cared for disabled Vietnamese refugee brought to Britain on the 1971 airlift;\r\nDace Pavasars, one of 'first five girls' helped by Ockenden;\r\nJane Pearce, retired local journalist;\r\nLuy Pham, Vietnamese refugee;\r\nMike Salisbury, Ockenden sponsor and Woking Friends committee member;\r\nMalcolm and Nora Stewart, Ockenden employees;\r\nBarry Wild, husband of Krista Wild;\r\nKrista Wild, DP camp refugee helped by Ockenden;\r\nYangchhen Yeshi, Tibetan refugee and Ockenden employee;\r\nGwen Young, Ockenden sponsor;\r\nJan Zoltonos, Polish DP camp refugee helped by Ockenden.",2005-2009,,"Some staff and trustee interviews (e.g. with Hilary Alder and Malcolm and Nora Stewart) contain sensitive subject matter, including criticisms of Ailsa Moore, former executive director. Check with Jill before making available for consultation",,,,,Open,01/01/2040,
Item,"Surrey History Centre, Woking",7259/2,7259/1/1/1/2,"Tape recording of items relating to Young Farnham Youth Club including: \r\n\r\ninterview with Club Leader, Peter Watts;\r\ninterview with District Youth Officer, Kurt Newlander;\r\ninterviews with various Club members; broadcast by the BBC made on the first anniversary of Young Farnham, 2 May 1958; broadcast by the BBC about Farnham Junior Choir with its leader, Mary Joynes.\r\n\r\nThe recordings were originally made by Mr Hewins on a reel-to-reel tape recorder.  He has since made this compilation on a single audio cassette",1958,,,,,Open,,,,
Item,"Surrey History Centre, Woking",7694/7/2,7694/6/1/1/2,"Audio cassette of discussion between Sam Thevathasan, Kingston Methodist Cricket Club captain, Richard Miller, vice captain, and Bob Wasley, reviewing the 1983 season",Dec 1983,,,,,,,,,
Item,"Surrey History Centre, Woking",7694/7/4,7694/6/1/1/4,Audio cassette recording of Harold Ayres [of Kingston Methodist Cricket Club] discussing his memories with Richard Driver and Bob Wasley,Mar 1999,,,,,,,,,
Collection,"Surrey History Centre, Woking",7887,7887,"WINIFRED KATE CHICK (NEÉ MILLER, 1904-1998) OF SALISBURY, WILTSHIRE: AUDIO CASSETTE RECORDING OF HER MEMOIRS INCLUDING CHILDHOOD AT THE SOUTHERN RAILWAY SERVANTS' ORPHANAGE, WOKING, AND HER HUSBAND WILLIAM CHICK'S EARLY LIFE IN WOKING",c.1980s,,,Open,,,There are no access restrictions.,"Presented by Ms A Brown, daughter of Winifred Chick, in January 2006.","Winifred Kate Miller was born on 14 Dec 1904 at 9 George Street, Salisbury, Wiltshire. Her father was a shunter for the Great Western Railway and on his death in 1912 Winifred was placed in the Southern Railway Servants' Orphanage, Woking.  Winifred went on to marry William Edmund Chick, who was born in Fulham in 1906 but was brought up from a baby at 50 Arnold Road, Woking, where his mother ran a laundry from her back yard.  Winifred died in 1998.",
Item,"Surrey History Centre, Woking",7887/1,7887/1/1/1/1,"Audio cassette tape featuring the reminiscences of Winifred Chick, including her early memories and childhood at the Southern Railway Servants' Orphanage, Woking",nd [?1980s],,,,,Open,,,,
Item,"Surrey History Centre, Woking",7887/2,7887/1/1/1/2,Audio cassette tape featuring Winifred Chick's reminiscences of her husband William Chick's early life in Woking,nd [?1980s],,,,,Open,,,,
Collection,"Surrey History Centre, Woking",8059,8059,'MEMORIES OF OLD WEST HORSLEY' ORAL HISTORY PROJECT: PAPERS AND COLLECTED HISTORICAL ITEMS,1892-1984,,,Open,,,There are no access restrictions.,"Presented by Janet Nixon of Horsell on behalf of Pauline Iliff, past chairman of West Horsley Parish Council, in November 2006.  Pauline Iliff had received the papers from Pauline Sheppard, daughter of Jo and Ron Wood, who were the principal organisers of the 'Memories of Old West Horsley' oral history project, in September 1996.",The cassette tape recordings of memories of residents of the parish of West Horsley were made between 1975 and 1977.,
Series,"Surrey History Centre, Woking",8059/,8059/1,'Memories of Old West Horsley' oral history project,1975-1984,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8059/1,8059/1/1/1/1,Correspondence and papers relating to the 'Memories of Old West Horsley' oral history project,1975-1981,,,,Open,,,,,
Item,"Surrey History Centre, Woking",8148/7,8148/1/1/1/18,"Mini audio tape recordings of conversations with elderly/long serving members of Royal Mid-Surrey Golf Club, as noted in -/6.  Tapes are labelled with names of interviewees.  14 items",1996-1997,,,,,Open,,,,
Collection,"Surrey History Centre, Woking",8203,8203,"THE GARDEN COTTAGE (CROOKSBURY HOUSE), TILFORD, FARNHAM: FARNHAM DFAS GROUP OF GARDEN RECORDERS' SURVEY REPORT OF ITS GARDEN, 2002-2006, WITH ACCOMPANYING APPENDICES",2002-2006,,"The survey report is accompanied by various appendices comprising copies of plans and photographs of the garden, 2002-2003 and 2006; lists of owners and occupiers of The Garden Cottage, 1889-2005; a list of gardeners and their families, 1891-1996, and testimonials for two of the gardeners, 1937 and 1939; copies of articles relating to Crooksbury House/The Garden Cottage in Country Life, 1900 and 1944; copied sale particulars and plan, 24 Jun 1914; a copy of the HM Land Registry plan to a conveyance dated 21 Mar 1961; and original sale particulars, 1999.  Appendix H (transcripts and CD audio recordings of the oral history interviews) and accompanying digital video recordings, which were originally part of the survey report, were permanently withdrawn by the depositor in March 2011 due to copyright reasons.\r\n\r\nOther Surrey libraries hold copies of the survey but these are also incomplete, again lacking Appendix H.",Open,,,The survey and remaining appendices can be copied for private research purposes only and are subject to copyright.,"Deposited by Mrs Judithe M Blacklaw of Farnham, in October 2007, on behalf of the Farnham DFAS Group of Garden Recorders for the Surrey Gardens Trust.","The Farnham Decorative and Fine Arts Society (DFAS) Group of Garden Recorders was formed on 3 October 2002 to carry out a survey of the garden at The Garden Cottage, Crooksbury House, Tilford, for the Surrey Gardens Trust.  The project began with an introductory workshop in garden recording, initially looking at maps and other source material, followed by a site visit to the garden.  One aspect of the Group's brief was to establish if Gertrude Jekyll (1843-1932), garden designer of Godalming, had had any direct input into the garden.\r\n\r\nThe survey was completed in 2006 and a report produced by the Group of Garden Recorders on the garden's history, 1889-2006.  The Group of Garden Recorders comprised Judithe M Blacklaw, Jenny Cameron Smail, Cynthia Gallagher and Vicky Jackson.  As of October 2007, The Garden Cottage is still being used as a private residence.  Farnham DFAS is a member society of NADFAS.",
